relationshipId,startNodeId,endNodeId,type,amount,unit,stepOrder
09dc0b1bc1e6b04c,c9bfcbfa7fe2af5a,473d72a4374b1aa9,CONTAINS_STEP,,,3.0
e97915125f1764be,c9bfcbfa7fe2af5a,d4c7b77b0358d447,CONTAINS_STEP,,,4.0
7340694f4e8fcd16,c9bfcbfa7fe2af5a,b9daf6182518535b,CONTAINS_STEP,,,5.0
9965c4bbf251ba16,c9bfcbfa7fe2af5a,25813d09a8386e90,CONTAINS_STEP,,,6.0
67ad8772102b0258,c9bfcbfa7fe2af5a,dc2be80c003ea858,CONTAINS_STEP,,,7.0
d939934a2b4378d4,c9bfcbfa7fe2af5a,0813aecd92148f1d,CONTAINS_STEP,,,8.0
6ddbeb7dc6ffd232,c9bfcbfa7fe2af5a,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
964f4f9db42a0c4e,c9bfcbfa7fe2af5a,8ffff47d4d8a1bba,HAS_DIFFICULTY_LEVEL,,,
a9d65b4957547ec2,e8198a4a3b8d77b3,3776293a5c06853b,REQUIRES,6,个,
8cbd1974e9c4a675,e8198a4a3b8d77b3,1e2a144c462b1349,REQUIRES,3,颗,
ba3c5301fd746e9c,e8198a4a3b8d77b3,02388f585485c7d2,REQUIRES,6,瓣,
690eee67d8f291d2,e8198a4a3b8d77b3,be1a7c309fe2740b,REQUIRES,1,小块,
f4a662ab92f2b875,e8198a4a3b8d77b3,121157f3cd06abbf,REQUIRES,,,
e5a0f449ea552fb3,e8198a4a3b8d77b3,8a2f5b2f09ba3a2c,REQUIRES,1,升,
6ded38a5e24e99c9,e8198a4a3b8d77b3,e664650c297ff743,CONTAINS_STEP,,,1.0
eab229cd430af56b,e8198a4a3b8d77b3,7b8b5dba70d9046b,CONTAINS_STEP,,,2.0
436a5cad436d029b,e8198a4a3b8d77b3,1f3872e17fa6d650,CONTAINS_STEP,,,3.0
99740afd4c4ace00,e8198a4a3b8d77b3,61cf05b5097fad13,CONTAINS_STEP,,,4.0
ab5b9c98cb1aff6d,e8198a4a3b8d77b3,5093910b6b569d9c,CONTAINS_STEP,,,5.0
058cc6a2d4e9bb93,e8198a4a3b8d77b3,26b69c73f14a85d5,CONTAINS_STEP,,,6.0
0e697cd2d18acdd8,e8198a4a3b8d77b3,fbaa4e39ca8903bf,BELONGS_TO_CATEGORY,,,
8020305f10029768,e8198a4a3b8d77b3,b47f0d2431a888a2,HAS_DIFFICULTY_LEVEL,,,
07da399c1c15b738,d23044499d5e537f,83b998556cc93881,REQUIRES,1,条,
c290cdbbcf34d460,d23044499d5e537f,a5a896d3d1479d48,REQUIRES,3,根,
91d82db3a4961c5d,d23044499d5e537f,be1a7c309fe2740b,REQUIRES,1,块,
fd7547b2627fd47b,d23044499d5e537f,591bba36f3a09e1c,REQUIRES,10-15,毫升,
39878a2cbb466dfb,d23044499d5e537f,24f958b6a5860bbb,REQUIRES,10-15,毫升,
04d11c72f02163e5,d23044499d5e537f,f00e325df91687b0,REQUIRES,10-15,毫升,
348f7417190cadb9,d23044499d5e537f,809cd62c6159126d,REQUIRES,5-10,克,
88c660eef8c0e362,d23044499d5e537f,d3f2dac7db39a3a6,CONTAINS_STEP,,,1.0
142dff1250ba020a,d23044499d5e537f,e61afcedc3c55747,CONTAINS_STEP,,,2.0
433b6fa70c545f5a,d23044499d5e537f,976d3298523eecb4,CONTAINS_STEP,,,3.0
a010de99126b4de0,d23044499d5e537f,e3ed0e224fcfd94f,CONTAINS_STEP,,,4.0
